label	text_a
1	历史竟然相似
4	离离原上桌
3	知恩nil
4	科二科
2	不用下游戏了
1	擦玻璃
3	鞋也要扔
1	盲猜抽烟
4	擦梅东是吧
4	虾夷贝
2	德华8p菜刀
3	车叫甜蜜
2	神奇的组合
5	老婆婆
3	沥青确信
1	疼瑞亚
3	好的伟哥
3	就应该穿雨靴
3	放弃的事
1	米式腿环
4	试胎压嘛
1	waer幻听
0	脑袋中风
2	OhMyGod
4	或者配套餐具
1	波比打野狂喜
1	太肝了三连了
1	一时傻掉
2	赶紧啊
4	好像大号血瓶
1	这这不对吧
4	秋刀鱼牛逼
4	没人教
1	lumia820
0	这可太帅了
4	夫目前
3	月亮女王
3	爱酱同款
4	疼失韩国市场
1	全是绿色
3	这芒果能吃不
4	给我上去
2	发手机
3	满坟的颜值
1	怪太多
3	挺宽的
3	随机去世楼梯
2	必中人
5	亲戚朋友
0	变梦崽
3	庸惬意生活
4	不行粉感很重
1	终于玩过了
4	qqss
3	武汉啊
3	玻璃危
3	有小红书
4	摄影师密干
4	它化了怎么弹
3	考古人狂喜
4	潜水员
4	小侄女太棒了
0	挖槽凯
1	打不中
2	c4已安装
4	削几刀
0	一起来拉大便
3	哪找来的场地
0	语气逐渐幽怨
1	上号了
2	存起来康康
3	主线任务01
0	路飞他妈
4	感觉可以
4	霸王枪
3	10点
3	实用系列
3	huludaodea
5	聊天记录
0	重新定义摸鱼
4	绝了整鸡
4	一次贱三个
4	这地上的垃圾
4	巨好喝这个
1	你好短呜呜
0	淦我的圣剑
3	好美捏
1	配行秋
1	弹幕开了吗
4	筷子呢哈哈哈
3	河里河里
4	同生日
4	諷拉滿
0	这件质感不错
3	我也想抱抱
0	之博人传
1	终末的轮回
1	巴流术
3	第一次爆笑
3	我真懂了
1	石绿doge
1	蛇佬腔
1	我不玩二手的
0	不1000
5	举办了
2	雷总哈哈哈哈
1	下巻生徒会長
0	当烟灰缸不错
4	子非鱼
1	我在吃
3	大鱼人小鱼人
4	少了墙不够
2	你咋骗人呢
1	耶耶耶猩
4	这么便宜的吗
4	老友记冲冲冲
4	女主新
4	注还有龙须
1	标志的直角肩
1	YTB
1	谁玩都合适嗷
2	bgm拉胯
4	这是藤壶吧
1	蛋饺肉丝无端
3	美漫里
3	他好狂啊
1	什么绝活
0	张果老
2	整个棍试试
2	不思进取
2	三连吧孩子们
1	打灯笼
1	之翼用
4	dernice
4	芋圆才
4	好开心呀
1	超兽emmm
1	永不缺席
1	極地大亂鬥
4	伺候到威
1	放格温
0	最靠近
5	ass
1	狼人票了票了
2	这不有手就行
1	尼马空
0	泥岩出来了
3	钱庆辉
2	szwuqi
0	阿非常喜欢呢
0	出个教程吗
4	这胎保熟不
0	来套组合拳
0	小桥流水人家
1	三点几嘞
1	创意渐起
1	左右开弓
1	平衡器
0	法国国旗细节
0	胖欧布
4	在哪里呀
1	太燃了太燃了
2	墨镜可以摘了
4	看的饿了
1	哇哦爷青回
5	359
1	还以为q空了
1	暂停看技能
1	有基佬
2	同款风枪
1	好活MVP
4	苹果味的
2	upscale
4	有钱人走了
4	很漂亮好漂亮
4	网友说的对
3	你现在才回来
2	就是DC
1	太恶心了吧
3	甘蔗汁儿
0	最速安装
4	奶奶很慈祥
1	缺德啊
4	猴面鱼抢镜
1	两千多个
3	我吃过了
1	乌拉席露
2	死亡人口诈尸
3	靠世另我
3	耳机党已死
3	有点像修钩
3	人家不会卖的
3	涡轮加速
0	不是1000
4	掉了一坨肉馅
1	阿博沃
0	声真好听
4	牛卫龙
3	坐等开茶店
3	快跑快
2	deepdarkfantacy
1	是爷们
1	好多李师傅
3	woooooo
1	钓鱼打牌赛鸟
1	画风真不戳
4	128w了
3	房间不够住吧
3	中国卧槽
3	这很sao
4	像李哥
1	又臭又香
4	盲猜棒打鲜橙
4	粘豆包
3	六式指枪
4	半月一更
2	文明6没骗我
4	石灰乳
0	一亿摩拉
3	浅帅一下
1	64880
5	啥时候
4	三鲜汤
4	辛苦啦绵羊
5	我爱罗
5	大义灭亲
0	单程票
1	有件事
1	四蛋都帕瓦
4	龙瞎自助
4	牙来大生意了
0	狠活啊
2	壁纸引擎有
5	老花眼
3	脚气能传染吗
2	这是硬夸了啊
1	敌不过
1	散人夺笋呐
2	截图选表情包
2	上市上市
3	巴嘎机
2	201不锈钢
1	蒋干觉得很赞
2	任天堂律师函
4	王世虎
3	是edg
3	豁鹿晗
1	更新视频好久
4	用火锅漏勺压
5	人类返祖现象
0	我超o乐
4	印度手法
1	三哥大弟
4	狼好啊
0	不够草
1	崩撤卖溜
2	什锦荟萃
2	看了眼进度条
4	少个漱口环节
2	莱卡你礼貌吗
1	暖暖开始
1	沒有元氣騎士
1	林业大学
1	笑死我了吊图
1	两命刻晴了
1	我显卡也废了
4	这个很赞
3	换led
1	圆脸排名
4	蹭蹭欧气
0	猪猪来啦
1	原神有内鬼啊
3	这车保熟吗
1	这绿件
3	路太差
4	我顶多吃3个
3	过来了
1	打莫药
2	DLSS好狠
0	兰花吧
3	业务熟练
4	厚厚的薄片
3	还是摩的好
4	这口生
1	世纪之嘴
1	强行逆转
1	学英语游戏
1	腾讯你不如他
3	享受不起
5	上热搜了
4	放一袋洗发水
3	居然这么麻烦
4	嘉宾你礼貌吗
1	掉san了
4	撒点干辣椒面
4	穷讲究
2	好耶又来了
1	抽凝光
4	开封的
3	特洛伊
5	二五仔
1	究极神作
3	整蛊我们是吧
1	狂野之血
5	2024
4	悲伤的故事
4	贞子黄游
1	真就1m
4	每天都吃燕窝
4	奶盖四季春耶
5	开始离谱了
3	雷神兽
4	可恶我好羡慕
5	为的是
4	居然还有角
4	科技的味道
3	于老师
3	鱼丸鱼丸鱼丸
1	太您了
3	SAO啊
0	印度你礼貌吗
4	皮太少
1	高子瘦了
4	好干净的菌子
3	我他妈超级怕
5	同步率
3	三足鼎立
4	一口顶我3口
2	小米这垃圾
5	808080
3	好多了多来点
3	艾福杰
3	我去踊
4	5块顶天了
4	我悔的很冲动
0	利勇利
3	可能是修完的
0	brain
4	3000哦
1	G先生特效
5	布尔乔亚
3	云南米干路过
3	经典没门
0	问没币怎么办
4	海鳗咬人
1	劫还是粗糙了
1	米奇不妙箱
4	2万大家好啊
3	这不是奶茶嘛
0	巴巴尔
4	看懂了学废了
3	二郎神是你吗
1	底部字幕
5	多一点
4	河南欢迎大家
1	woc300
4	具体地址
0	兰比尔
3	我直接上手
0	八九不离十
0	防伪水纹
4	汝听人言否
2	现在是xr
2	好一个手机
4	我老婆来了
1	给你打个闪
3	俺炼金出货了
2	438
1	经典故意的
0	靠一模一样
1	hihihihihi
4	生态太好了
4	放了黄油
4	酒精块
5	游戏吧
4	feifeifei
4	尤利塔好漂亮
0	什么都没发生
4	海瓜子
1	鬼哭我的鬼哭
4	這是葡撻嗎
4	神似小沈阳
1	应该是042
3	作如是观
3	目測兒
1	不要来尸爆啊
4	痞老板是你吗
1	烟花秀
0	brian
3	炸物间
1	这是环刃
0	新得里
4	我超好货啊
2	眩晕正常
4	没鼻子
3	干掉星巴克
3	普皇经典
1	哇超1
4	浪儿你不撑吗
1	我靠好爽
3	物理魔法棒
3	没有窗帘
3	威廉爵士
4	上帝的声音
1	颜色好浅
0	欢迎你凯哥
2	完全躺平
1	二打一是吧
1	太真实了枯了
5	小兔兔
0	应用领域
1	他老婆下楼了
1	9000很好
2	中了呀
4	菲力牛排
1	三条高压线
4	阿胶哈哈哈哈
0	对迪亚
0	takemehand
4	太大包
4	已经开始酸了
3	羊巴鲁你变了
2	三级管
1	改成拉万
1	woy
3	亲民点
1	窦娥是吧
1	不嘴牌
4	第一赶上了
0	只会选
1	v5加油
5	高开低走
5	天马行空
4	过度了
3	摄像头怎么办
4	已经木质化了
3	绕着他打无解
4	後面小劇場
2	小米过分了昂
4	我以为是血
3	好多机车
4	强制拔出
1	197
4	还有小排
2	民兵C4教程
2	就狸谱
1	注你有两只手
4	来得太早了
3	大象我不配了
5	炒起来
5	楼顶上
1	版老爽
3	我可太心动了
4	邪神的夸奖
1	粑粑人
4	小几几转型啦
1	hoime
3	挤出去
2	索引吗
4	还有电
4	真的好便宜啊
5	之大谱
1	绿植里
3	是你霸瞳
0	超乙女
0	宇宙大国
4	不得鸟哦
0	Backrooms
3	算公务员吗
3	虾仁还要猪心
1	nightstool
3	俄罗斯商店侠
3	自信微笑
1	16号
4	咱可以呼吸
1	武器池一生黑
4	法式布丁
3	目測兒童床
4	我没她能吃
3	蚂蝗啃脚
0	哇这纹身好酷
4	Hhhhhhhhhhhhh
3	为什么生气啊
3	这个更漂亮
4	7元好便宜
4	好家伙洗手水
3	怎么关门
1	还有泥头王八
1	取名为
4	一定不错
4	有点淡
4	这就去喝鱼汤
1	我先來雷抗
0	家主大人好涩
1	谢广坤是你
1	超级小桀
1	卡哥好兄弟
1	羊妈直呼内行
4	鱼儿高兴吗
4	花生米也会
4	甜好吃
4	有点残忍
4	有小孩子的
1	你磨牙了肯定
3	pov
0	熟悉起来
0	哇三连
4	电视讲话
0	完迪迦
0	强度高的一桌
4	外面更冷啊
4	要投吸
3	狗贩子
1	Heroic
5	过于自信
1	冰女无限连
2	来大活了
4	喝口服液
1	吉良吉影狂喜
1	取名大师
3	就是人多
2	fromturtleimport
3	这里也好像
3	稳赔不赚
2	用远峰
1	笑死单通
4	糖里面有盐
1	50shift
2	这木大
0	死亡之翼
1	完了高能来了
3	针不敢相信
2	还是苹果好啊
5	一系列
3	设备齐全
3	洗车店
1	两本大叔
2	身子骨
0	把绫波还给我
0	还是有成型色
5	380
4	探店齁币多
3	有噱头没钱景
2	索尼yyds
4	巧克力辣酱
4	降价了
4	最爱这个
4	断了的药
4	提前不能嗞
0	万能英语
3	草没绷住
1	开端循环
3	我还真有
0	主我来了
3	大哥好榜样
5	古天乐
2	ISP
0	雅木茶
3	真的好姜云升
4	你在教我吗
1	曹飞了
3	人工成本爆炸
1	柜里有人
4	永远爱金包银
1	在弄了在弄了
0	姐妹们快跑
1	惨无人绝
3	撑死25w
3	海盗屁股
1	炸糊过
1	坐等火
1	左旋雨刷
3	这不那谁么
3	羊里羊气
0	左边二号机
1	有觉哥那味了
1	眼神躲闪
1	空耳大个
2	钱说话
1	这游戏真的难
5	头盖骨
1	泡泡机
4	山药芝士
3	比肉家
0	叶哲泰叶
1	非真爱
3	这个要支持
1	练刀房
2	我觉得不好看
1	帝血噬
1	三连是你的了
1	草丽塔
1	闪耀的灯球
4	提莫笑
4	卡牙缝
1	疾风之刃
4	刚哥压路
1	领先无尽
0	育碧出品
4	饿死我吧
4	滤镜好红
3	好想波一口
4	打下手
5	门当户对
4	北方吃猪尾巴
3	纠正一下六天
3	aped
1	20w已破
4	好想亲维维
4	人还是旧的好
3	含锡量
5	我人麻了
0	烬哥哥
1	我玩过耶
3	这是在斗牛吗
1	零氪也不难啊
1	鞋子是回力诶
3	你会飞吗
2	otg
1	老小丑了
1	鬼给我个面子
2	小心广告法
0	kb48
1	757
3	这是人住的
5	收藏夹
3	发展前途
4	亡命鸳鸯
1	05倍
4	大庆小心点
4	看得饿死了
1	黑黑暗降临啊
1	我去闹鬼了
4	两字中庸
1	最强之一来了
5	这么回事
1	澄闪抢答
2	麒麟乱杀
3	太远咯
2	狠狠收藏了
0	光与暗的力量
1	勾玉才
4	炒牛河
3	深呼锡
0	压C社长
4	不喜欢东北
3	有机无力
2	雷军独一档
1	人皆有之
1	大元帅
1	贡子哥牛逼
4	感觉有点稀了
1	woc这大蒜
4	可是蒂娜我
3	车模笑死我了
1	2311
3	风声吗
2	听你说话敞亮
4	真不是吹的
4	呃转的挺快
4	拿坡里黄确信
3	王刚直摇头
2	李小龍
4	好不容易啊
0	下头东西
4	这萝卜不错
1	大石砸S蟹
1	这一剑插的
4	今年上岸
3	六仙男
1	2D衡版
4	锅盖头
3	就彩蛋呗
5	来喽来喽
0	英国脱欧了
4	镊子啊
1	老梗了
1	我是三年二班
2	啊春买它
3	长得好乖啊
1	我都想要
4	阿华田太甜了
4	纯爷生的
1	天火出鞘
5	成就感
3	支持邮政
4	水漏了
0	塔迪斯
1	安赫尔
4	借景抒情
1	三世同堂
0	这是凤梨
2	IQO9
3	抱出了一个娃
3	16w人了
3	第五人格
0	825
1	卡萨鬼鬼
4	然后做成皮鞋
5	星期四
4	还有纹身
0	ALLBLUE
4	鼻子谢谢
4	羊村的诱惑
1	下路会
3	桂林狂喜
0	BGMMINISKIRT
1	还有头皮吗
5	天堂制造
4	严重落魄了
4	海王族
4	胖了大sao
0	一块巨大的肉
5	贝克汉姆
1	1157现在
4	这筷子好夸张
1	uwie
1	涩涩发抖
0	好美的老婆
1	玩法doge
0	加强八重
4	飞龙是鸡
4	好像五彩魔法
5	无能为力
4	略像荷兰弟
4	扎外劳宫穴
4	雪吗亏
1	士官长
2	蹲在空中
1	六星火神啊
1	对谜语人说漏
1	八卦还有一次
1	御风而行
4	我是张及
3	帅真的帅
4	自嗨锅方便
1	BgmTHEPLANtravisscott
1	六哥我是什么
0	暗示tx
3	我鹅子
3	谢谢你超市侠
1	玩甩狙是吧
3	老不老
3	下面有提词器
5	诈尸了
1	光污染1
3	高三不放
4	整点太妃镜了
1	格温又赢了
4	没有那么辣
1	1100000
2	IFS
5	女主长
4	没熟要放几天
4	每天拿着吹么
3	爱美老二
1	xxxf4
1	烫裤裤
1	虫豸完全版
4	真的是海底捞
1	我老八
1	全是高颜值
1	思路逐渐明确
1	注真爱
1	这个超级好用
4	好美这个光
2	这敢上手啊
5	和稀泥
4	可以用火烧吗
0	火石刘明
4	这闺女真能吃
0	非常难看
4	破灭了啊
1	绘画带师
1	惊现四川话
1	SDMG
1	来了新武器
4	牛头人给我冲
1	游版学霸
0	温迪特瓦林
4	我也好喜欢吃
4	两点钟
2	Rainymood
4	弃肉使旗鼓
4	便秘吗
4	没什么难的
2	省流安卓
4	冬瓜煲
4	不老吃不饱
2	洛阳雄起
3	怀念家驹
2	超月幕
3	这些我都带
4	打破砂锅问到底
0	雷鸣八卦
3	ohgod
3	每日杠精
1	刻晴池
4	愿身体健康
1	仁川人加油
1	光头打人侠
3	摸鱼手套
4	数学老师上线
4	超爱大碴
4	懂了是shi
5	恋恋不舍
3	水泥地梁
4	有点寡
0	余俄不足
1	你不是
4	来抢啊阿强
0	新的老公
3	注入rmb
1	坏了判官笔们
2	少一格
4	绿帽子蟹
4	这是东海龙宫
4	一串串
5	太可爱
3	我爱三月三
4	多了两片土豆
4	马可波罗
3	买个稳定器吧
3	真的不错诶
4	思苦忆
1	哈哈哈被打了
3	被人偷土了
3	25万魔鬼
1	热猩肠
3	这得加钱吧
4	新疆菜视频
4	徒弟胖了一圈
2	奥车儿
4	407431
1	游戏该速
4	吃没了
1	他放土
2	648328
1	握草8000
3	屏幕按坏了
4	说话怕你吓着
1	肌无力啊
4	八担柴煮不烂
1	不愧是爷
1	玩家名字感人
4	真脑袋有水
4	葱花哒咩
3	神级分镜
1	hohoho
4	小文鸽
3	这个规整
3	这是美食呀
5	开始施法
3	太他妈真实了
1	拼音蛋糕
5	不对劲
3	一掌超人
3	嫂子在我就来
5	无欲无求
4	大庆教官
1	undertale
4	螃蟹配柿子
1	那艾希
2	暂停找手机
3	你不孝顺
4	关键是没钱
1	圆神啊
4	恐怖墩墩
1	我的初中同桌
4	好丰盛羡慕
3	这次玩泥巴
4	圣代太甜了
2	GDW
3	俄罗斯氰工业
1	arc的人
3	三月三什么节
1	弹幕诶嘿
1	把T0
5	妈耶太
5	近距离
1	完美的伪装
1	不锁卡
4	豆包是粘豆包
4	renglea
0	卡阔以
1	不至于啊
2	R3你礼貌吗
3	不难想象
3	全场mvp
1	寒着吧
3	生命的美好
1	小时童年
4	菊花1
1	我直接等千代
1	有点踩吗
3	请勿刷屏
1	简直一样我趣
1	哇做得真不戳
3	八病名
4	车上钢琴家
1	这是up绿箭
1	万事小心
0	azaz
1	帅哥嘿嘿
3	哇哦纵享丝滑
3	小孩好多
1	岩王爷
1	1万同志们好
1	勾8黑
5	计量单位
4	湖南的酱板鸭
4	武汉128
1	77是璃月的
2	给我狠狠地恰
1	背景好评
1	逍遥刘梅
3	稳得异批
0	国际玩笑
0	请多来
4	这个绝了冲
3	希希岛爱理
3	那些都是坑
1	8848不是
0	这不对吧UO
1	新的武器类型
5	狗尾巴
2	犊子你别
1	牌太多
1	磕头啊
4	老战狼出场了
4	七分糖可以的
4	漏的味道
1	妈刀芜湖
1	这个巨好玩
4	老板有茅台吗
3	多发点我爱看
3	听哥一句劝
4	只能说滂臭
4	买不辣
2	看到了黑丝
1	欧气东来
1	开挂得劲
0	卡路大战
4	面一会儿软了
0	他在说中文吗
1	缺开团
4	回国了
0	红薯考好了吗
4	这个超难喝
5	第二个
0	失控玩家
3	不仅外
1	这个b简直了
0	芜湖凯哥
5	哭死了
3	i78700k
1	dio确定
2	满足要求
3	我是真的可以
2	设计太平庸了
2	407
1	确实是神作
1	只能是042
0	眼睛瞬间亮了
4	吃欧肉抓嘞
1	灵力全回血了
0	带我的是优菈
3	一块钱一斤
5	哗众取宠
4	开始谈判
1	阿怪过日快乐
3	眼镜大虾
1	KoKoDaYobushi
4	老没鼻子
4	散装海飞丝
3	全程不敢快进
2	绝对不买这个
4	阿姨朴实
0	老罗好帅
4	痛痛痛贴贴贴
1	22校规好像
3	192516
1	说琴会
1	没软用
4	顾客都要疯掉
1	比如树莓
1	3cm
3	别给我提足球
0	纠缠磨损
2	中奖一次吧
3	冲水水
1	班长我弯了
0	0001025620001SimHei1
1	两段大招回来
1	笑嘛了
1	spasmodic
3	明知是狗粮
1	马八的礼物
1	找人带
3	快三连
3	冰塞川
1	SAS再见
3	这小蓝人
0	特别有意思
3	套你爸
4	这就是滑肝
4	里脊糖葫芦
3	smalltown
1	吸血鬼从墓中
4	狗狗太可爱了
3	808人
4	看成了鞋底
0	欧拉欧拉
3	玉碎田园
4	哇优秀
3	我随一个币吧
3	章鱼哥美颜版
3	小时代123
0	一顿蛙组手
4	巧了我正在喝
4	趁它不注意
1	豆宝牛牛
1	tatakai
4	巧克力番茄
3	爷爷好可爱
4	瓜保熟吗
4	绿了公的
1	痛失韩流市场
4	死因不是玩意
3	好家伙是咸的
0	侵略战争
0	金属制造是吧
5	大数据
1	记得三连
4	每日活埋11
5	老婆大人
3	浴缸我惊了
5	运动员
1	承包且茄
5	长见识
4	玫瑰花的葬礼
4	刚艺术人生
2	雷总说
1	第二世界
0	太sao
4	王一发是吧
0	意识入元宇宙
3	好熟悉的招式
4	自带音效
1	行秋绿剑
1	姐姐撞死我
0	我dd我dd
4	哇潮汕
0	凤是你吗
4	大骨店
3	好漂亮的宝宝
2	wacom
2	确实是小米
1	削弱了
1	像在分头行动
1	这运镜真绝
1	扣1放高能君
4	食药监
1	水滴鱼
0	下头跑跑啊
3	北京人狂喜
1	自动追踪
4	最爱要
1	还有孤胆车神
4	到我家了啊
1	ez被控到死
0	eyes
2	大鲶鱼
0	啊还没吃呢
4	比耶呢
1	熬夜人的胜利
1	BGMRADIANTFORCE
4	11万吧
4	甜胚子是啥
4	值得一顿
5	第一次这么早
1	刀预言家
1	4万了
2	R6M4
0	滚吧OK
1	噩梦联动
1	是老板
2	气动拳
1	死加活
3	钶鈄啃脚
1	应该加个再起
4	听着都贵
1	这人数涨的
5	4min
4	好细致啊
2	硬伤属于是
4	带她吃吃两锅
1	阿兹兹兹兹兹
